,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
316,1,NOS Primavera Sounds,2014,7/6,!!!,Palco NOS,Principal,B – M,,
67,9,Alive,2013,13/07,2manydjs,Palco Optimus,Principal,B – M,,
562,7,Rock In Rio,2010,22/5,2manydjs,Palco Mundo,Principal,B – M,,
655,8,Sudoeste,2010,04/08,2manydjs,Palco tmn,Principal,B – M,,
35,11,Alive,2011,08/07,30 Seconds to Mars,Palco Optimus,Principal,B – M,,
207,12,Marés Vivas,2013,20/07,30 Seconds to Mars,,Principal,B – M,,
856,13,Sudoeste,2019,08/08,6lack ,Palco Meo,Principal,B – M,,
182,16,Marés Vivas,2010,16/07,A Silent Film,Palco tmn,Principal,B – M,,
360,27,NOS Primavera Sounds,2018,8/6,A$ap Rocky,Palco NOS,Principal,M,,
791,28,Sudoeste,2015,09/08,Above & Beyond,Palco Meo,Principal,M,,
831,38,Sudoeste,2017,05/08,Afrojack,Palco Meo,Principal,M,,
702,37,Sudoeste,2012,01/08,Afrojack,Palco TMN,Principal,M,,
248,43,Marés Vivas,2017,14/07,Agir,Palco Meo,Principal,M,PT,
115,44,Alive,2016,09/07,Agir,Palco NOS,Principal,M,PT,
643,40,Rock In Rio,2018,24/06,Agir,Palco Mundo,Principal,M,PT,
336,45,NOS Primavera Sounds,2016,11/6,Air,Palco NOS,Principal,B – M,,
674,46,Sudoeste,2010,08/08,Air,Palco tmn,Principal,B – M,,
935,52,Super Bock Super Rock,2014,19/07,Albert Hammond Jr.,Palco Super Bock,Principal,B – M,,
372,55,NOS Primavera Sounds,2019,7/6,Aldous Harding,Palco NOS,Principal,B – M,,
764,58,Sudoeste,2014,09/08,Alesso,Palco Meo,Principal,B – M,,
729,57,Sudoeste,2013,07/08,Alesso,Palco MEO,Principal,B – M,,
553,69,Paredes de Coura,2019,17/08,Alice Phoebe Lou,Palco Vodafone FM,Principal,B – M,,
145,68,Alive,2018,14/07,Alice in Chains,Palco NOS,Principal,B – M,,
17,67,Alive,2010,08/07,Alice in Chains,Palco Optimus,Principal,B – M,,
459,70,Paredes de Coura,2015,21/08,Allah-Las,Palco Vodafone,Principal,B – M,,
909,73,Super Bock Super Rock,2012,07/07,Aloe Blacc,Palco Super Bock,Principal,B – M,,
120,78,Alive,2017,06/07,Alt-J,Palco NOS,Principal,B – M,,
91,77,Alive,2015,09/07,Alt-J,Palco NOS,Principal,B – M,,
535,81,Paredes de Coura,2019,15/08,Alvvways,Palco Vodafone,Principal,B – M,,
252,85,Marés Vivas,2017,15/07,Amor Electro,Palco Meo,Principal,B – F,PT,
571,87,Rock In Rio,2010,29/5,Amy Macdonald,Palco Mundo,Principal,F,,
231,94,Marés Vivas,2015,18/07,Ana Moura,Palco Meo,Principal,F,PT,
914,97,Super Bock Super Rock,2013,18/07,Anarchicks,Palco Super Bock,Principal,B – F,,
974,99,Super Bock Super Rock,2018,20/07,Anderson .Paak & The Free Nationals,Palco Super Bock,Principal,F,,
352,107,NOS Primavera Sounds,2017,9/6,Angel Olsen,Palco NOS,Principal,F,,
340,109,NOS Primavera Sounds,2016,9/6,Animal Collective,Palco NOS,Principal,B – M,,
852,111,Sudoeste,2019,07/08,Anitta,Palco Meo,Principal,F,,
644,110,Rock In Rio,2018,24/06,Anitta,Palco Mundo,Principal,F,,
424,112,Paredes de Coura,2012,16/08,Anna Calvi,Palco EDP,Principal,F,,
786,115,Sudoeste,2015,08/08,Anselmo Ralph,Palco Meo,Principal,M,,
746,114,Sudoeste,2013,11/08,Anselmo Ralph,Palco MEO,Principal,M,,
324,121,NOS Primavera Sounds,2015,5/6,Antony and the Johnsons,Palco NOS,Principal,B – M,,
344,122,NOS Primavera Sounds,2017,10/6,Aphex Twin,Palco NOS,Principal,M,,
832,126,Sudoeste,2017,05/08,April Ivy,Palco Meo,Principal,F,,
889,131,Super Bock Super Rock,2011,15/07,Arcade Fire,Palco Super bock,Principal,B – M,,
525,130,Paredes de Coura,2018,18/08,Arcade Fire,Palco Vodafone,Principal,B – M,,
619,129,Rock In Rio,2014,31/05,Arcade Fire,Palco Mundo,Principal,B – M,,
116,132,Alive,2016,09/07,Arcade Fire,Palco NOS,Principal,B – M,,
134,134,Alive,2018,12/07,Arctic Monkeys,Palco NOS,Principal,B – M,,
915,137,Super Bock Super Rock,2013,18/07,Arctic Monkeys,Palco Super Bock,Principal,B – M,,
884,133,Super Bock Super Rock,2011,14/07,Arctic Monkeys,Palco Super bock,Principal,B – M,,
77,138,Alive,2014,10/07,Arctic Monkeys,Palco NOS,Principal,B – M,,
922,140,Super Bock Super Rock,2013,20/07,Ash,Palco Super Bock,Principal,B – M,,
495,146,Paredes de Coura,2017,17/08,At the Drive In,Palco Vodafone,Principal,B – M,,
196,156,Marés Vivas,2011,16/07,Aurea,Palco tmn,Principal,F,PT,
536,161,Paredes de Coura,2019,15/08,Avi Buffalo,Palco Vodafone FM,Principal,F,,
730,164,Sudoeste,2013,07/08,Avicii,Palco MEO,Principal,M,,
635,163,Rock In Rio,2016,29/05,Avicii,Palco Mundo,Principal,M,,
679,166,Sudoeste,2011,03/08,Axwell,Palco TMN,Principal,M,,
12,167,Alive,2009,11/07,Ayo,Palco Optimus,Principal,F,,
916,169,Super Bock Super Rock,2013,18/07,Azealia Banks,Palco Super Bock,Principal,F,,
759,177,Sudoeste,2014,08/08,B4,Palco Meo,Principal,M,,
500,180,Paredes de Coura,2017,18/08,BadBadNotGood,Palco Vodafone,Principal,B – M,,
670,184,Sudoeste,2010,07/08,Bajofondo,Palco tmn,Principal,B – M,,
544,187,Paredes de Coura,2019,16/08,Balthazar,Palco Vodafone FM,Principal,B – M,,
117,190,Alive,2016,09/07,Band of Horses,Palco NOS,Principal,B – M,,
464,192,Paredes de Coura,2015,22/08,Banda do Mar,Palco Vodafone,Principal,B – MF,,
325,191,NOS Primavera Sounds,2015,5/6,Banda do Mar,Palco NOS,Principal,B – MF,,
249,207,Marés Vivas,2017,14/07,Bastille,Palco Meo,Principal,B – M,,
639,206,Rock In Rio,2018,23/06,Bastille,Palco Mundo,Principal,B – M,,
87,208,Alive,2014,12/07,Bastille,Palco NOS,Principal,B – M,,
407,215,Paredes de Coura,2011,19/08,Battles,Palco Ritek,Principal,B – M,,
328,220,NOS Primavera Sounds,2015,6/6,Baxter Dury,Palco NOS,Principal,M,,
501,224,Paredes de Coura,2017,18/08,Beach House,Palco Vodafone,Principal,M,,
332,223,NOS Primavera Sounds,2016,10/6,Beach House,Palco NOS,Principal,B – M,,
489,227,Paredes de Coura,2017,16/08,Beak,Palco Vodafone,Principal,B – M,,
910,236,Super Bock Super Rock,2012,07/07,Bebe,Palco Super Bock,Principal,B – M,,
530,239,Paredes de Coura,2019,14/08,Bed Legs,Palco Vodafone,Principal,B – M,,
885,241,Super Bock Super Rock,2011,14/07,Beirut,Palco Super bock,Principal,B – M,,
364,242,NOS Primavera Sounds,2018,9/6,Belako,Palco NOS,Principal,B – M,,
444,244,Paredes de Coura,2013,17/08,Belle & Sebastian,Palco Vodafone,Principal,B – M,,
705,247,Sudoeste,2012,02/08,Ben Harper,Palco TMN,Principal,B – M,,
92,248,Alive,2015,09/07,Ben Harper,Palco NOS,Principal,M,,
186,249,Marés Vivas,2010,17/07,Ben Harper & the Relentless7,Palco tmn,Principal,B – M,,
706,250,Sudoeste,2012,02/08,Ben Howard,Palco TMN,Principal,B – M,,
78,251,Alive,2014,10/07,Ben Howard,Palco NOS,Principal,M,,
505,257,Paredes de Coura,2017,19/08,Benjamin Clementine,Palco Vodafone,Principal,M,,
977,259,Super Bock Super Rock,2018,21/07,Benjamin Clementine,Palco Super Bock,Principal,M,,
769,261,Sudoeste,2014,10/08,Benny Benassi,Palco Meo,Principal,M,,
723,266,Sudoeste,2012,05/08,Best Coast,Palco TMN,Principal,M,,
469,270,Paredes de Coura,2016,17/08,Best Youth,Palco Vodafone,Principal,M,,
244,273,Marés Vivas,2016,16/07,Beth Orton,Palco Meo,Principal,F,,
62,280,Alive,2013,12/07,Biffy Clyro,Palco Optimus,Principal,B – M,,
18,279,Alive,2010,08/07,Biffy Clyro,Palco Optimus,Principal,B – M,,
106,281,Alive,2016,07/07,Biffy Clyro,Palco NOS,Principal,B – M,,
526,286,Paredes de Coura,2018,18/08,Big Thief,Palco Vodafone,Principal,B – M,,
284,287,NOS Primavera Sounds,2012,7/6,Bigott,Palco Optimus,Principal,M,,
445,300,Paredes de Coura,2013,17/08,Black Bombaim,Palco Vodafone,Principal,B – M,PT,
545,304,Paredes de Coura,2019,16/08,Black Midi,Palco Vodafone FM,Principal,B – M,,
918,305,Super Bock Super Rock,2013,19/07,Black Rebel Motorcycle  Club,Palco Super Bock,Principal,B – M,,
139,306,Alive,2018,13/07,Black Rebel Motorcycle Club,Palco NOS,Principal,B – M,,
96,309,Alive,2015,10/07,Blasted Mechanism,Palco NOS,Principal,B – M,PT,
6,307,Alive,2009,10/07,Blasted Mechanism,Palco Optimus,Principal,B – M,PT,
853,313,Sudoeste,2019,07/08,Blaya,Palco Meo,Principal,B – M,,
223,316,Marés Vivas,2015,16/07,Blind Zero,Palco Meo,Principal,B – M,PT,
956,319,Super Bock Super Rock,2016,15/07,Bloc Party,Palco Super Bock,Principal,B – M,,
899,318,Super Bock Super Rock,2012,05/07,Bloc Party,Palco Super Bock,Principal,B – M,,
402,321,Paredes de Coura,2011,18/08,Blonde Redhead,Palco Ritek,Principal,B – M,,
26,322,Alive,2011,06/07,Blondie,Palco Optimus,Principal,B – F,,
449,324,Paredes de Coura,2015,19/08,Blood Red Shoes,Palco Vodafone,Principal,B – F,,
140,328,Alive,2018,13/07,Blossoms,Palco NOS,Principal,B – M,,
945,333,Super Bock Super Rock,2015,17/07,Blur,Palco Super Bock,Principal,B – M,,
304,332,NOS Primavera Sounds,2013,31/5,Blur,Palco Optimus,Principal,B – M,,
660,339,Sudoeste,2010,05/08,Bomba Estéreo,Palco tmn,Principal,B – M,,
162,345,Alive,2019,13/07,Bon Iver,Palco NOS,Principal,M,,
353,344,NOS Primavera Sounds,2017,9/6,Bon Iver,Palco NOS,Principal,M,,
531,349,Paredes de Coura,2019,14/08,Boogarins,Palco Vodafone,Principal,B – M,,
13,355,Alive,2009,11/07,Boss AC,Palco Optimus,Principal,M,PT,
607,356,Rock In Rio,2014,25/05,Boss Ac & Áurea,Palco Mundo,Principal,M,,
537,361,Paredes de Coura,2019,15/08,Boy Pablo,Palco Vodafone FM,Principal,M,,
894,367,Super Bock Super Rock,2011,16/07,Brandon Flowers,Palco Super bock,Principal,M,,
361,378,NOS Primavera Sounds,2018,8/6,Breeders,Palco NOS,Principal,B – M,,
671,379,Sudoeste,2010,07/08,Brett Dennen,Palco tmn,Principal,M,,
333,380,NOS Primavera Sounds,2016,10/6,Brian Wilson,Palco NOS,Principal,M,,
623,384,Rock In Rio,2016,19/05,Bruce Springsteen,Palco Mundo,Principal,M,,
599,383,Rock In Rio,2012,3/06,Bruce Springsteen,Palco Mundo,Principal,M,,
645,387,Rock In Rio,2018,24/06,Bruno Mars,Palco Mundo,Principal,M,,
502,390,Paredes de Coura,2017,18/08,Bruno Pernadas,Palco Vodafone,Principal,M,,
587,394,Rock In Rio,2012,2/06,Bryan Adams,Palco Mundo,Principal,M,,
135,395,Alive,2018,12/07,Bryan Ferry,Palco NOS,Principal,M,,
368,397,NOS Primavera Sounds,2019,6/6,Built to Spill,Palco NOS,Principal,M,,
82,402,Alive,2014,11/07,Buraka Som Sistema,Palco NOS,Principal,B – MF,PT,
227,400,Marés Vivas,2015,17/07,Buraka Som Sistema,Palco Meo,Principal,B – MF,PT,
780,399,Sudoeste,2015,07/08,Buraka Som Sistema,Palco Meo,Principal,B – MF,,
200,408,Marés Vivas,2013,18/07,Bush,,Principal,B – M,,
775,410,Sudoeste,2015,06/08,C2C,Palco Meo,Principal,B – M,,
806,412,Sudoeste,2016,05/08,C4 Pedro,Palco Meo,Principal,B – M,,
839,413,Sudoeste,2018,09/08,C4Pedro,Palco Meo,Principal,B – M,,
485,538,Paredes de Coura,2016,20/08,CHVRCHES,Palco Vodafone,Principal,B – M,,
308,417,NOS Primavera Sounds,2014,5/6,Caetano Veloso,Palco NOS,Principal,M,,
479,419,Paredes de Coura,2016,19/08,Cage The Elephant,Palco Vodafone,Principal,M,,
446,426,Paredes de Coura,2013,17/08,Calexico,Palco Vodafone,Principal,M,,
814,429,Sudoeste,2016,07/08,Cali Y El Dandee,Palco Meo,Principal,M,,
717,430,Sudoeste,2012,04/08,Calle 13,Palco TMN,Principal,M,,
742,431,Sudoeste,2013,10/08,Calvin Harris,Palco MEO,Principal,M,,
776,432,Sudoeste,2015,06/08,Calvin Harris,Palco Meo,Principal,M,,
615,441,Rock In Rio,2014,30/05,Capital Inicial,Palco Mundo,Principal,M,,
484,446,Paredes de Coura,2016,20/08,Capitão Fausto,Palco Vodafone,Principal,M,PT,
429,445,Paredes de Coura,2012,17/08,Capitão Fausto,Palco EDP,Principal,M,PT,
900,448,Super Bock Super Rock,2012,05/07,Capitão Fausto,Palco Super Bock,Principal,M,,
962,450,Super Bock Super Rock,2017,13/07,Capitão Fausto,Palco Super Bock,Principal,M,,
538,447,Paredes de Coura,2019,15/08,Capitão Fausto,Palco Vodafone,Principal,M,,
496,459,Paredes de Coura,2017,17/08,Car Seat Headrest,Palco Vodafone,Principal,M,,
539,460,Paredes de Coura,2019,15/08,Car Seat Headrest,Palco Vodafone,Principal,M,,
58,464,Alive,2012,15/07,Caribou,Palco Optimus,Principal,M,,
384,463,Paredes de Coura,2010,29/07,Caribou,Palco Paredes de Coura,Principal,M,,
320,462,NOS Primavera Sounds,2015,4/6,Caribou,Palco NOS,Principal,M,,
781,470,Sudoeste,2015,07/08,Carlão,Palco Meo,Principal,M,,
276,471,Marés Vivas,2019,20/07,Carlão,Palco MEO,Principal,M,PT,
264,490,Marés Vivas,2018,21/07,Carolina Deslandes,Palco Meo,Principal,F,PT,
864,489,Sudoeste,2019,10/08,Carolina Deslandes,Palco Meo,Principal,F,,
334,493,NOS Primavera Sounds,2016,10/6,Cass Mccombs,Palco NOS,Principal,M,,
981,497,Super Bock Super Rock,2019,18/07,Cat Power,Palco Super Bock,Principal,M,,
540,504,Paredes de Coura,2019,15/08,Cave Story,Palco Vodafone FM,Principal,M,,
743,509,Sudoeste,2013,10/08,Cee Lo Green,Palco MEO,Principal,M,,
450,512,Paredes de Coura,2015,19/08,Ceremony,Palco Vodafone,Principal,M,,
337,515,NOS Primavera Sounds,2016,11/6,Chairlift,Palco NOS,Principal,B – F,,
460,518,Paredes de Coura,2015,21/08,Charles Bradley,Palco Vodafone,Principal,B – F,,
636,519,Rock In Rio,2016,29/05,Charlie Puth,Palco Mundo,Principal,B – F,,
101,524,Alive,2015,11/07,Chet Faker,Palco NOS,Principal,M,,
14,530,Alive,2009,11/07,Chris Cornell,Palco Optimus,Principal,M,,
369,532,NOS Primavera Sounds,2019,6/6,Christina Rosenvinge,Palco NOS,Principal,M,,
985,533,Super Bock Super Rock,2019,19/07,Christine and The Queens,Palco Super Bock,Principal,M,,
348,542,NOS Primavera Sounds,2017,8/6,Cigarettes After Sex,Palco NOS,Principal,B – M,,
321,544,NOS Primavera Sounds,2015,4/6,Cinerama,Palco NOS,Principal,B – M,,
782,554,Sudoeste,2015,07/08,Clean Bandit,Palco Meo,Principal,B – M,,
797,556,Sudoeste,2016,03/08,Club Banditz,Palco Meo,Principal,B – M,,
215,549,Marés Vivas,2014,18/07,Clã + Ana Moura,,Principal,B – F,PT,
665,560,Sudoeste,2010,06/08,Colbie Caillat,Palco tmn,Principal,B – F,,
174,561,Marés Vivas,2009,18/07,Colbie Caillat,,Principal,F,,
27,565,Alive,2011,06/07,Coldplay,Palco Optimus,Principal,B – M,,
546,574,Paredes de Coura,2019,16/08,Connan Mockasin,Palco Vodafone FM,Principal,B – M,,
380,577,Paredes de Coura,2010,28/07,Cosmo Jarvis,Palco Paredes de Coura,Principal,B – M,,
102,578,Alive,2015,11/07,Counting Crows,Palco NOS,Principal,B – M,,
125,579,Alive,2017,07/07,Courteeners,Palco NOS,Principal,B – M,,
373,582,NOS Primavera Sounds,2019,7/6,Courtney Barnett,Palco NOS,Principal,F,,
480,589,Paredes de Coura,2016,19/08,Crocodiles,Palco Vodafone,Principal,F,,
827,596,Sudoeste,2017,04/08,Crystal Fighters,Palco Meo,Principal,F,,
949,598,Super Bock Super Rock,2015,18/07,Crystal Fighters,Palco Super Bock,Principal,F,,
403,600,Paredes de Coura,2011,18/08,Crystal Stilts,Palco Ritek,Principal,F,,
931,602,Super Bock Super Rock,2014,18/07,Cults,Palco Super Bock,Principal,F,,
527,604,Paredes de Coura,2018,18/08,Curtis Harding,Palco Vodafone,Principal,F,,
868,605,Super Bock Super Rock,2010,16/07,Cut Copy,Palco Super bock,Principal,F,,
632,612,Rock In Rio,2016,28/05,D.A.M.A & Gabriel o Pensador,Palco Mundo,Principal,F,,
777,614,Sudoeste,2015,06/08,D.A.M.A.,Palco Meo,Principal,F,,
268,611,Marés Vivas,2018,22/07,D.A.M.A.,Palco Meo,Principal,B – M,PT,
235,610,Marés Vivas,2016,14/07,D.A.M.A.,Palco Meo,Principal,B – M,PT,
413,719,Paredes de Coura,2011,20/08,DFA 1979,Palco Ritek,Principal,B – M,,
520,733,Paredes de Coura,2018,17/08,DIIV,Palco Vodafone,Principal,B – M,,
798,766,Sudoeste,2016,03/08,DJ Callas,Palco Meo,Principal,B – M,,
799,772,Sudoeste,2016,03/08,DJ Darcy,Palco Meo,Principal,B – M,,
783,796,Sudoeste,2015,07/08,DJ No Expression,Palco Meo,Principal,B – M,,
680,808,Sudoeste,2011,03/08,DJ Ramesh,Palco TMN,Principal,B – M,,
747,811,Sudoeste,2013,11/08,DJ Ride,Palco MEO,Principal,B – M,,
823,824,Sudoeste,2017,03/08,DJ Snake,Palco Meo,Principal,B – M,,
840,825,Sudoeste,2018,09/08,DJ Snake,Palco Ring,Principal,B – M,,
792,842,Sudoeste,2015,09/08,DJeff Afrozila,Palco Meo,Principal,B – M,,
771,841,Sudoeste,2014,10/08,DJeff Afrozila,Palco Meo,Principal,B – M,,
800,882,Sudoeste,2016,03/08,DVBBS,Palco Meo,Principal,B – M,,
807,627,Sudoeste,2016,05/08,Damian Marley,Palco Meo,Principal,B – M,,
329,628,NOS Primavera Sounds,2015,6/6,Damien Rice,Palco NOS,Principal,M,,
48,637,Alive,2012,13/07,Danko Jones,Palco Optimus,Principal,B – M,,
370,638,NOS Primavera Sounds,2019,6/6,Danny Brown,Palco NOS,Principal,B – M,,
15,643,Alive,2009,11/07,Dave Matthews Band,Palco Optimus,Principal,B – M,,
183,648,Marés Vivas,2010,16/07,David Fonseca,Palco tmn,Principal,M,PT,
693,650,Sudoeste,2011,06/08,David Guetta,Palco TMN,Principal,M,,
675,649,Sudoeste,2010,08/08,David Guetta,Palco tmn,Principal,M,,
265,654,Marés Vivas,2018,21/07,David Guetta,Palco Meo,Principal,M,,
770,652,Sudoeste,2014,10/08,David Guetta,Palco Meo,Principal,M,,
203,653,Marés Vivas,2013,19/07,David Guetta,,Principal,M,,
724,651,Sudoeste,2012,05/08,David Guetta,Palco TMN,Principal,M,,
959,658,Super Bock Super Rock,2016,16/07,De La Soul,Palco Super Bock,Principal,M,,
430,661,Paredes de Coura,2012,17/08,Dead Combo,Palco EDP,Principal,M,,
528,666,Paredes de Coura,2018,18/08,Dead Combo c/ Mark Lanegan,Palco Vodafone,Principal,M,,
292,673,NOS Primavera Sounds,2012,9/6,Death Cab for Cutie,Palco Optimus,Principal,B – M,,
835,682,Sudoeste,2018,08/08,Deejay Telio,Palco Meo,Principal,B – M,,
341,685,NOS Primavera Sounds,2016,9/6,Deerhunter,Palco NOS,Principal,B – M,,
547,687,Paredes de Coura,2019,16/08,Deerhunter,Palco Vodafone,Principal,B – M,,
408,686,Paredes de Coura,2011,19/08,Deerhunter,Palco Ritek,Principal,B – M,,
968,688,Super Bock Super Rock,2017,15/07,Deftones,Palco Super Bock,Principal,B – M,,
22,689,Alive,2010,09/07,Deftones,Palco Optimus,Principal,B – M,,
646,697,Rock In Rio,2018,24/06,Demi Lovato,Palco Mundo,Principal,B – M,,
239,702,Marés Vivas,2016,15/07,Dengaz,Palco Meo,Principal,M,PT,
833,701,Sudoeste,2017,05/08,Dengaz,Palco Meo,Principal,M,,
778,700,Sudoeste,2015,06/08,Dengaz,Palco Meo,Principal,M,,
688,705,Sudoeste,2011,05/08,Deolinda,Palco TMN,Principal,M,,
68,706,Alive,2013,13/07,Depeche Mode,Palco Optimus,Principal,B – M,,
130,707,Alive,2017,08/07,Depeche Mode,Palco NOS,Principal,B – M,,
548,709,Paredes de Coura,2019,16/08,Derby Motoreta's Burrito Kachimba,Palco Vodafone FM,Principal,B – M,,
844,710,Sudoeste,2018,10/08,Desiigner,Palco Meo,Principal,B – M,,
419,730,Paredes de Coura,2012,15/08,Digitalism,Palco EDP,Principal,B – M,PT,
296,741,NOS Primavera Sounds,2013,1/6,Dinosaur Jr.,Palco Optimus,Principal,B – M,,
640,746,Rock In Rio,2018,23/06,Diogo Piçarra,Palco Mundo,Principal,B – M,PT,
250,749,Marés Vivas,2017,14/07,Diogo Piçarra,Palco Meo,Principal,M,PT,
810,748,Sudoeste,2016,06/08,Diogo Piçarra,Palco Meo,Principal,M,,
848,750,Sudoeste,2018,11/08,Diogo Piçarra,Palco Meo,Principal,M,,
103,757,Alive,2015,11/07,Disclosure,Palco NOS,Principal,B – M,,
926,754,Super Bock Super Rock,2014,17/07,Disclosure,Palco Super Bock,Principal,B – M,,
953,755,Super Bock Super Rock,2016,14/07,Disclosure,Palco Super Bock,Principal,B – M,,
989,758,Super Bock Super Rock,2019,20/07,Disclosure,Palco Super Bock,Principal,B – M,,
731,840,Sudoeste,2013,07/08,Djeff,Palco MEO,Principal,B – M,,
277,850,Marés Vivas,2019,20/07,Don Broco,Palco MEO,Principal,B – M,,
