,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
829,1700,Sudoeste,2017,04/08,Lil Wayne,Palco Meo,Principal,M,,
595,1701,Rock In Rio,2012,26/5,Limp Bizkit,Palco Mundo,Principal,M,,
338,1704,NOS Primavera Sounds,2016,11/6,Linda Martini,Palco NOS,Principal,B – M,PT,
74,1710,Alive,2013,14/07,Linda Martini,Palco Optimus,Principal,B – M,PT,
151,1711,Alive,2019,11/07,Linda Martini,Palco NOS,Principal,B – M,PT,
512,1707,Paredes de Coura,2018,15/08,Linda Martini,Palco Vodafone,Principal,B – M,,
414,1706,Paredes de Coura,2011,20/08,Linda Martini,Palco Ritek,Principal,B – M,,
596,1714,Rock In Rio,2012,26/5,Linkin Park,Palco Mundo,Principal,B – M,,
616,1715,Rock In Rio,2014,30/05,Linkin Park,Palco Mundo,Principal,B – M,,
306,1728,NOS Primavera Sounds,2013,31/5,Local Natives,Palco Optimus,Principal,B – M,,
966,1732,Super Bock Super Rock,2017,14/07,London Grammar,Palco Super Bock,Principal,B – M,,
357,1736,NOS Primavera Sounds,2018,7/6,Lorde,Palco NOS,Principal,F,,
622,1737,Rock In Rio,2014,31/05,Lorde,Palco Mundo,Principal,F,,
382,1738,Paredes de Coura,2010,28/07,Los Campesinos!,Palco Paredes de Coura,Principal,F,,
243,1743,Marés Vivas,2016,15/07,Lost Frequencies,Palco Meo,Principal,M,,
522,1758,Paredes de Coura,2018,17/08,Lucy Dacus,Palco Vodafone,Principal,M,,
254,1766,Marés Vivas,2017,15/07,Lukas Graham,Palco Meo,Principal,M,,
40,1767,Alive,2011,09/07,Lululemon ,Palco Optimus,Principal,B – M,PT,
465,1771,Paredes de Coura,2015,22/08,Lykke Li,Palco Vodafone,Principal,B – M,,
906,1776,Super Bock Super Rock,2012,06/07,M.I.A.,Palco Super Bock,Principal,B – M,,
663,1775,Sudoeste,2010,05/08,M.I.A.,Palco tmn,Principal,B – M,,
288,1778,NOS Primavera Sounds,2012,8/6,M83,Palco Optimus,Principal,B – M,,
118,1779,Alive,2016,09/07,M83,Palco NOS,Principal,B – M,,
83,1958,Alive,2014,11/07,MGMT,Palco NOS,Principal,B – M,,
148,1959,Alive,2018,14/07,MGMT,Palco NOS,Principal,B – M,,
323,1780,NOS Primavera Sounds,2015,4/6,Mac DeMarco,Palco NOS,Principal,M,,
606,1782,Rock In Rio,2014,01/06,Mac Miller,Palco Mundo,Principal,M,,
819,1783,Sudoeste,2017,02/08,Mac Miller,Palco Meo,Principal,M,,
1,1787,Alive,2009,09/07,Machine Head,Palco Optimus,Principal,B – M,,
940,1792,Super Bock Super Rock,2015,16/07,Madeon,Palco Super Bock,Principal,B – M,,
415,1807,Paredes de Coura,2011,20/08,Maika Mokovki,Palco Ritek,Principal,B – M,,
278,1815,Marés Vivas,2019,20/07,Mando Diao,Palco MEO,Principal,B – M,,
298,1816,NOS Primavera Sounds,2013,1/6,Manel,Palco Optimus,Principal,M,PT,
508,1820,Paredes de Coura,2017,19/08,Manel Cruz,Palco Vodafone,Principal,M,,
262,1821,Marés Vivas,2018,20/07,Manel Cruz,Palco Meo,Principal,M,PT,
190,1826,Marés Vivas,2011,14/07,Manu Chao,Palco tmn,Principal,M,,
690,1844,Sudoeste,2011,05/08,Marcelo Camelo,Palco TMN,Principal,M,,
708,1845,Sudoeste,2012,02/08,Marcelo D2,Palco TMN,Principal,M,,
664,1858,Sudoeste,2010,05/08,Maria Gadú,Palco tmn,Principal,M,,
410,1863,Paredes de Coura,2011,19/08,Marina & The Diamonds,Palco Ritek,Principal,M,,
581,1866,Rock In Rio,2010,6/6,Mariza,Palco Mundo,Principal,M,,
461,1867,Paredes de Coura,2015,21/08,Mark Lanegan,Palco Vodafone,Principal,M,,
513,1869,Paredes de Coura,2018,15/08,Marlon Williams,Palco Vodafone,Principal,M,,
97,1871,Alive,2015,10/07,Marmozets,Palco NOS,Principal,B – F,,
634,1874,Rock In Rio,2016,28/05,Maroon 5,Palco Mundo,Principal,B – F,,
586,1873,Rock In Rio,2012,01/06,Maroon 5,Palco Mundo,Principal,B – F,,
824,1878,Sudoeste,2017,03/08,Marshmello,Palco Meo,Principal,B – F,,
846,1879,Sudoeste,2018,10/08,Marshmello,Palco Meo,Principal,B – F,,
830,1884,Sudoeste,2017,04/08,Martin Garrix,Palco Meo,Principal,B – F,,
803,1883,Sudoeste,2016,04/08,Martin Garrix,Palco Meo,Principal,B – F,,
752,1882,Sudoeste,2014,06/08,Martin Garrix,Palco Meo,Principal,B – F,,
703,1885,Sudoeste,2012,01/08,Martin Solveig,Palco TMN,Principal,B – F,,
927,1899,Super Bock Super Rock,2014,17/07,Massive Attack,Palco Super Bock,Principal,B – F,,
676,1898,Sudoeste,2010,08/08,Massive Attack,Palco tmn,Principal,B – F,,
958,1900,Super Bock Super Rock,2016,15/07,Massive Attack & Young Fathers,Palco Super Bock,Principal,B – F,,
2,1903,Alive,2009,09/07,Mastodon,Palco Optimus,Principal,B – M,,
592,1902,Rock In Rio,2012,25/05,Mastodon,Palco Mundo,Principal,B – M,,
820,1907,Sudoeste,2017,02/08,Matias Damásio,Palco Meo,Principal,B – M,,
709,1909,Sudoeste,2012,02/08,Matisyahu,Palco TMN,Principal,B – M,,
871,1914,Super Bock Super Rock,2010,16/07,Mayer Hawthorne,Palco Super bock,Principal,B – M,,
573,1921,Rock In Rio,2010,29/5,McFly,Palco Mundo,Principal,B – M,,
575,1925,Rock In Rio,2010,30/05,Megadeath,Palco Mundo,Principal,B – M,,
383,1931,Paredes de Coura,2010,28/07,Memory Tapes,Palco Paredes de Coura,Principal,B – M,,
307,1930,NOS Primavera Sounds,2013,31/5,Memória de Peixe,Palco Optimus,Principal,B – M,PT,
710,1935,Sudoeste,2012,02/08,Meninos do Coro,Palco TMN,Principal,B – M,,
726,1938,Sudoeste,2012,05/08,Meninos do Coro,Palco TMN,Principal,B – M,,
719,1937,Sudoeste,2012,04/08,Meninos do Coro,Palco TMN,Principal,B – M,,
715,1936,Sudoeste,2012,03/08,Meninos do Coro,Palco TMN,Principal,B – M,,
301,1939,NOS Primavera Sounds,2013,30/5,Merchandise,Palco Optimus,Principal,B – M,,
593,1943,Rock In Rio,2012,25/05,Metallica,Palco Mundo,Principal,B – M,,
3,1944,Alive,2009,09/07,Metallica,Palco Optimus,Principal,B – M,,
347,1946,NOS Primavera Sounds,2017,10/6,Metronomy,Palco NOS,Principal,B – M,,
928,1948,Super Bock Super Rock,2014,17/07,Metronomy,Palco Super Bock,Principal,B – M,,
365,1942,NOS Primavera Sounds,2018,9/6,Metá Metá,Palco NOS,Principal,B – M,,
694,1954,Sudoeste,2011,06/08,Mexican Institute Of Sound,Palco TMN,Principal,B – M,,
421,1964,Paredes de Coura,2012,15/08,Midlake,Palco EDP,Principal,B – M,,
991,1972,Super Bock Super Rock,2019,20/07,Migos,Palco Super Bock,Principal,B – M,,
350,1973,NOS Primavera Sounds,2017,8/6,Miguel,Palco NOS,Principal,M,,
757,1977,Sudoeste,2014,07/08,Miguel Araújo,Palco Meo,Principal,M,,
230,1978,Marés Vivas,2015,17/07,Miguel Araújo,Palco Meo,Principal,M,PT,
136,1981,Alive,2018,12/07,Miguel Araújo,Palco NOS,Principal,M,PT,
257,1979,Marés Vivas,2017,16/07,Miguel Araújo,Palco Meo,Principal,M,PT,
672,1995,Sudoeste,2010,07/08,Mika,Palco tmn,Principal,M,,
627,1994,Rock In Rio,2016,20/05,Mika,Palco Mundo,Principal,M,,
197,1996,Marés Vivas,2011,16/07,Mika,Palco tmn,Principal,M,,
677,2005,Sudoeste,2010,08/08,Mike Patton's,Palco tmn,Principal,M,,
574,2007,Rock In Rio,2010,29/5,Miley Cyrus,Palco Mundo,Principal,M,,
941,2008,Super Bock Super Rock,2015,16/07,Milky Chance,Palco Super Bock,Principal,M,,
470,2012,Paredes de Coura,2016,17/08,Minor Victories,Palco Vodafone,Principal,M,,
274,2024,Marés Vivas,2019,19/07,Mishlawi,Palco MEO,Principal,M,PT,
825,2023,Sudoeste,2017,03/08,Mishlawi,Palco Meo,Principal,M,,
924,2027,Super Bock Super Rock,2013,20/07,Miss Lava,Palco Super Bock,Principal,M,,
557,2032,Paredes de Coura,2019,17/08,Mitski,Palco Vodafone,Principal,M,,
194,2037,Marés Vivas,2011,15/07,Moby,Palco tmn,Principal,M,,
339,2045,NOS Primavera Sounds,2016,11/6,Moderat,Palco NOS,Principal,M,,
211,2049,Marés Vivas,2014,17/07,Modestep,,Principal,B – M,,
366,2051,NOS Primavera Sounds,2018,9/6,Mogwai,Palco NOS,Principal,B – M,,
416,2052,Paredes de Coura,2011,20/08,Mogwai,Palco Ritek,Principal,B – M,,
152,2054,Alive,2019,11/07,Mogwai,Palco NOS,Principal,B – M,,
312,2050,NOS Primavera Sounds,2014,6/6,Mogwai,Palco NOS,Principal,B – M,,
21,2063,Alive,2010,08/07,Moonspell,Palco Optimus,Principal,B – M,PT,
53,2066,Alive,2012,14/07,Morcheeba,Palco Optimus,Principal,B – M,,
181,2064,Marés Vivas,2010,15/07,Morcheeba,Palco tmn,Principal,B – F,,
281,2065,Marés Vivas,2019,21/07,Morcheeba,Palco MEO,Principal,B – F,,
576,2074,Rock In Rio,2010,30/05,Motorhead,Palco Mundo,Principal,B – F,,
98,2091,Alive,2015,10/07,Mumford & Sons,Palco NOS,Principal,B – M,,
54,2090,Alive,2012,14/07,Mumford & Sons,Palco Optimus,Principal,B – M,,
847,2097,Sudoeste,2018,10/08,Mundo Segundo & Sam The Kid,Palco Meo,Principal,B – M,,
94,2103,Alive,2015,09/07,Muse,Palco NOS,Principal,B – M,,
567,2101,Rock In Rio,2010,27/5,Muse,Palco Mundo,Principal,B – M,,
642,2102,Rock In Rio,2018,23/06,Muse,Palco Mundo,Principal,B – M,,
638,2104,Rock In Rio,2016,,Musical Rock In Rio,Palco Mundo,Principal,B – M,,*tocaram tds os dias
299,2106,NOS Primavera Sounds,2013,1/6,My Bloody Valentine,Palco Optimus,Principal,B – MF,,
33,2107,Alive,2011,07/07,My Chemical Romance,Palco Optimus,Principal,B – M,,
529,2109,Paredes de Coura,2018,18/08,Myles Sanko,Palco Vodafone,Principal,B – M,,
24,1835,Alive,2010,09/07,Mão Morta,Palco Optimus,Principal,B – M,PT,
493,1834,Paredes de Coura,2017,16/08,Mão Morta,Palco Vodafone,Principal,B – M,,
397,1833,Paredes de Coura,2010,31/07,Mão Morta,Palco Paredes de Coura,Principal,B – M,PT,
732,2058,Sudoeste,2013,08/08,Mónica Ferraz,Palco MEO,Principal,B – M,,
191,2119,Marés Vivas,2011,14/07,Natiruts,Palco tmn,Principal,B – M,,
733,2118,Sudoeste,2013,08/08,Natiruts,Palco MEO,Principal,B – M,,
816,2134,Sudoeste,2016,07/08,Nervo,Palco Meo,Principal,B – M,,
317,2136,NOS Primavera Sounds,2014,7/6,Neutral Milk Hotel,Palco NOS,Principal,B – M,,
542,2138,Paredes de Coura,2019,15/08,New Order,Palco Vodafone,Principal,B – M,,
367,2144,NOS Primavera Sounds,2018,9/6,Nick Cave & The Bad Seeds,Palco NOS,Principal,B – M,,
302,2143,NOS Primavera Sounds,2013,30/5,Nick Cave & The Bad Seeds,Palco Optimus,Principal,B – M,,
498,2145,Paredes de Coura,2017,17/08,Nick Murphy,Palco Vodafone,Principal,B – M,,
354,2146,NOS Primavera Sounds,2017,9/6,Nicolas Jaar,Palco NOS,Principal,M,,
189,2154,Marés Vivas,2010,17/07,Nikolaj Grandjean,Palco tmn,Principal,M,,
137,2163,Alive,2018,12/07,Nine Inch Nails,Palco NOS,Principal,B – M,,
55,2170,Alive,2012,14/07,Noah and the Whale,Palco Optimus,Principal,B – M,,
942,2171,Super Bock Super Rock,2015,16/07,Noel Gallagher's high flying birds,Palco Super Bock,Principal,B – M,,
890,2173,Super Bock Super Rock,2011,15/07,Noiserv,Palco Super bock,Principal,B – M,PT,
657,2202,Sudoeste,2010,04/08,Nuno Reis,Palco tmn,Principal,B – M,,
762,2208,Sudoeste,2014,08/08,O Rappa,Palco Meo,Principal,B – M,,
427,2221,Paredes de Coura,2012,16/08,Of Montreal,Palco EDP,Principal,B – M,,
793,2226,Sudoeste,2015,09/08,Oliver Heldens,Palco Meo,Principal,B – M,,
71,2236,Alive,2013,13/07,Oquestrada,Palco Optimus,Principal,B – F,PT,
669,2239,Sudoeste,2010,06/08,Orelha Negra,Palco tmn,Principal,B – F,,
961,2246,Super Bock Super Rock,2016,16/07,Orelha Negra,Palco Super Bock,Principal,B – F,,
471,2245,Paredes de Coura,2016,17/08,Orelha Negra,Palco Vodafone,Principal,B – F,,
206,2247,Marés Vivas,2013,19/07,Orelha Negra,,Principal,B – M,PT,
748,2242,Sudoeste,2013,11/08,Orelha Negra,Palco MEO,Principal,B – M,,
279,2254,Marés Vivas,2019,20/07,Ornatos Violeta,Palco MEO,Principal,B – M,PT,
432,2253,Paredes de Coura,2012,17/08,Ornatos Violeta,Palco EDP,Principal,B – M,PT,
153,2255,Alive,2019,11/07,Ornatos Violeta,Palco NOS,Principal,B – M,PT,
398,2259,Paredes de Coura,2010,31/07,Os Dias de Raiva,Palco Paredes de Coura,Principal,B – M,,
8,2262,Alive,2009,10/07,Os Pontos Negros,Palco Optimus,Principal,B – M,PT,
275,2263,Marés Vivas,2019,19/07,Os Quatro e Meia,Palco MEO,Principal,B – M,PT,
310,2258,NOS Primavera Sounds,2014,5/6,Os da Cidade,Palco NOS,Principal,B – M,,
59,2312,Alive,2012,15/07,PAUS,Palco Optimus,Principal,B – M,,
391,2308,Paredes de Coura,2010,30/07,PAUS,Palco Paredes de Coura,Principal,B – M,PT,
448,2275,Paredes de Coura,2013,17/08,Palma Violets,Palco Vodafone,Principal,B – M,,
879,2277,Super Bock Super Rock,2010,18/07,Palma's Gang,Palco Super bock,Principal,B – M,,
609,2278,Rock In Rio,2014,25/05,Paloma Faith,Palco Mundo,Principal,B – M,,
41,2285,Alive,2011,09/07,Paramore,Palco Optimus,Principal,B – F,,
533,2287,Paredes de Coura,2019,14/08,Parcels,Palco Vodafone,Principal,B – F,,
691,2294,Sudoeste,2011,05/08,Patrice,Palco TMN,Principal,B – F,,
558,2300,Paredes de Coura,2019,17/08,Patti Smith,Palco Vodafone,Principal,B – F,,
326,2299,NOS Primavera Sounds,2015,5/6,Patti Smith,Palco NOS,Principal,F,,
440,2316,Paredes de Coura,2013,16/08,Peace,Palco Vodafone,Principal,F,,
184,2317,Marés Vivas,2010,16/07,Peaches,Palco tmn,Principal,F,,
47,2321,Alive,2011,10/07,Pearl Jam,Palco Optimus,Principal,B – M,,
149,2322,Alive,2018,14/07,Pearl Jam,Palco NOS,Principal,B – M,,
753,2325,Sudoeste,2014,06/08,Pedro Cazanova,Palco Meo,Principal,B – M,,
455,2340,Paredes de Coura,2015,20/08,Peixe:Avião,Palco Vodafone,Principal,B – M,,
678,2338,Sudoeste,2010,08/08,Peixe:Avião,Palco tmn,Principal,B – M,,
159,2347,Alive,2019,12/07,Perry Farrell,Palco NOS,Principal,M,,
872,2348,Super Bock Super Rock,2010,16/07,Pet Shop Boys,Palco Super bock,Principal,M,,
740,2351,Sudoeste,2013,09/08,Pete Tha Zouk,Palco MEO,Principal,M,,
704,2350,Sudoeste,2012,01/08,Pete Tha Zouk,Palco TMN,Principal,M,,
911,2352,Super Bock Super Rock,2012,07/07,Peter Gabriel,Palco Super Bock,Principal,M,,
392,2353,Paredes de Coura,2010,30/07,Peter Hook,Palco Paredes de Coura,Principal,M,,
75,2360,Alive,2013,14/07,Phoenix,Palco Optimus,Principal,B – M,,
987,2359,Super Bock Super Rock,2019,19/07,Phoenix,Palco Super Bock,Principal,B – M,,
121,2361,Alive,2017,06/07,Phoenix,Palco NOS,Principal,B – M,,
838,2370,Sudoeste,2018,08/08,Piruka,Palco Meo,Principal,B – M,,
734,2378,Sudoeste,2013,08/08,Pitbull,Palco MEO,Principal,B – M,,
313,2381,NOS Primavera Sounds,2014,6/6,Pixies,Palco NOS,Principal,B – M,,
107,2382,Alive,2016,07/07,Pixies,Palco NOS,Principal,B – M,,
335,2383,NOS Primavera Sounds,2016,10/6,Pj Harvey,Palco NOS,Principal,F,,
9,2385,Alive,2009,10/07,Placebo,Palco Optimus,Principal,B – M,,
185,2384,Marés Vivas,2010,16/07,Placebo,Palco tmn,Principal,B – M,,
355,2400,NOS Primavera Sounds,2017,9/6,Pond,Palco NOS,Principal,B – M,,
891,2404,Super Bock Super Rock,2011,15/07,Portishead,Palco Super bock,Principal,B – M,,
220,2405,Marés Vivas,2014,19/07,Portishead,,Principal,B – F,,
486,2406,Paredes de Coura,2016,20/08,Portugal. The Man,Palco Vodafone,Principal,B – F,,
859,2408,Sudoeste,2019,08/08,Post Malone,Palco Meo,Principal,B – F,,
170,2413,Marés Vivas,2009,16/07,Primal Scream,,Principal,B – M,,
160,2415,Alive,2019,12/07,Primal Scream,Palco NOS,Principal,B – M,,
880,2417,Super Bock Super Rock,2010,18/07,Prince,Palco Super bock,Principal,B – M,,
992,2423,Super Bock Super Rock,2019,20/07,ProfJam,Palco Super Bock,Principal,B – M,,
404,2431,Paredes de Coura,2011,18/08,Pulp,Palco Ritek,Principal,B – M,,
789,2346,Sudoeste,2015,08/08,Pérola,Palco Meo,Principal,B – M,,
628,2441,Rock In Rio,2016,20/05,Queen + Adam Lambert,Palco Mundo,Principal,B – M,,
925,2444,Super Bock Super Rock,2013,20/07,Queens of The Stone Age,Palco Super Bock,Principal,B – M,,
617,2443,Rock In Rio,2014,30/05,Queens of The Stone Age,Palco Mundo,Principal,B – M,,
142,2445,Alive,2018,13/07,Queens of The Stone Age,Palco NOS,Principal,B – M,,
794,2447,Sudoeste,2015,09/08,Quentin Mosimann,Palco Meo,Principal,B – M,,
112,2450,Alive,2016,08/07,Radiohead,Palco NOS,Principal,B – M,,
60,2449,Alive,2012,15/07,Radiohead,Palco Optimus,Principal,B – M,,
577,2457,Rock In Rio,2010,30/05,Rammstein,Palco Mundo,Principal,B – M,,
4,2459,Alive,2009,09/07,Ramp,Palco Optimus,Principal,B – M,,
686,2462,Sudoeste,2011,04/08,Raphael Saadiq,Palco TMN,Principal,B – M,,
466,2468,Paredes de Coura,2015,22/08,Ratatat,Palco Vodafone,Principal,B – M,,
963,2477,Super Bock Super Rock,2017,13/07,Red Hot Chili Peppers,Palco Super Bock,Principal,B – M,,
50,2480,Alive,2012,13/07,Refused,Palco Optimus,Principal,B – M,,
790,2483,Sudoeste,2015,08/08,Regula,Palco Meo,Principal,B – M,,
358,2488,NOS Primavera Sounds,2018,7/6,Rhye,Palco NOS,Principal,B – M,,
821,2505,Sudoeste,2017,02/08,Richie Campbell,Palco Meo,Principal,B – M,,
716,2503,Sudoeste,2012,03/08,Richie Campbell,Palco TMN,Principal,B – M,,
735,2504,Sudoeste,2013,08/08,Richie Campbell,Palco MEO,Principal,B – M,,
226,2506,Marés Vivas,2015,16/07,Richie Campbell,Palco Meo,Principal,M,PT,
263,2507,Marés Vivas,2018,20/07,Richie Campbell,Palco Meo,Principal,M,PT,
330,2512,NOS Primavera Sounds,2015,6/6,Ride,Palco NOS,Principal,B – M,,
271,2518,Marés Vivas,2018,22/07,Rita Ora,Palco Meo,Principal,F,,
866,2517,Sudoeste,2019,10/08,Rita Ora,Palco Meo,Principal,F,,
631,2522,Rock In Rio,2016,27/05,Rival Sons,Palco Mundo,Principal,F,,
610,2524,Rock In Rio,2014,25/05,Robbie Williams,Palco Mundo,Principal,F,,
108,2525,Alive,2016,07/07,Robert Plant and The Sensational Space Shifters,Palco NOS,Principal,B – M,,
952,2532,Super Bock Super Rock,2015,18/07,Rodrigo Amarante,Palco Super Bock,Principal,B – M,,
892,2533,Super Bock Super Rock,2011,15/07,Rodrigo Leão,Palco Super bock,Principal,B – M,PT,
379,2547,NOS Primavera Sounds,2019,8/6,Rosalia,Palco NOS,Principal,F,,
289,2556,NOS Primavera Sounds,2012,8/6,Rufus Wainwright,Palco Optimus,Principal,M,,
209,2575,Marés Vivas,2013,20/07,Rui Veloso,,Principal,M,PT,
246,2576,Marés Vivas,2016,16/07,Rui Veloso,Palco Meo,Principal,M,PT,
612,2578,Rock In Rio,2014,29/05,Rui Veloso com Lenine e Angelique Kidjo,Palco Mundo,Principal,M,,
351,2582,NOS Primavera Sounds,2017,8/6,Run The Jewels,Palco NOS,Principal,B – M,,
860,2583,Sudoeste,2019,09/08,Russ,Palco Meo,Principal,B – M,,
475,2588,Paredes de Coura,2016,18/08,Ryley Walker,Palco Vodafone,Principal,B – M,,
736,2589,Sudoeste,2013,08/08,S.O.J.A.,Palco MEO,Principal,B – M,,
903,2597,Super Bock Super Rock,2012,05/07,Salto,Palco Super Bock,Principal,B – M,,
105,2604,Alive,2015,11/07,Sam Smith,Palco NOS,Principal,M,,
695,2632,Sudoeste,2011,06/08,Scissor Sisters,Palco TMN,Principal,M,,
172,2634,Marés Vivas,2009,17/07,Scorpions,,Principal,B – M,,
255,2633,Marés Vivas,2017,15/07,Scorpions,Palco Meo,Principal,B – M,,
886,2638,Super Bock Super Rock,2011,14/07,Sean Riley & The Slowriders,Palco Super bock,Principal,B – M,PT,
763,2645,Sudoeste,2014,08/08,Sebastian Ingrosso,Palco Meo,Principal,B – M,,
173,2648,Marés Vivas,2009,17/07,Secondhand Serenade,,Principal,M,,
766,2650,Sudoeste,2014,09/08,Selah Sue,Palco Meo,Principal,M,,
559,2658,Paredes de Coura,2019,17/08,Sensible Soccers,Palco Vodafone FM,Principal,M,,
594,2661,Rock In Rio,2012,25/05,Sepultura,Palco Mundo,Principal,M,,
767,2669,Sudoeste,2014,09/08,Seu Jorge,Palco Meo,Principal,M,,
809,2670,Sudoeste,2016,05/08,Seu Jorge,Palco Meo,Principal,M,,
258,2672,Marés Vivas,2017,16/07,Seu Jorge,Palco Meo,Principal,M,,
582,2678,Rock In Rio,2010,6/6,Shakira,Palco Mundo,Principal,M,,
517,2679,Paredes de Coura,2018,16/08,Shame,Palco Vodafone,Principal,M,,
988,2680,Super Bock Super Rock,2019,19/07,Shame,Palco Super Bock,Principal,M,,
851,2684,Sudoeste,2018,11/08,Shawn Mendes,Palco Meo,Principal,M,,
